but	sister	1
see	our	1
youngest	see	1
sister	see	1
youngest	our	1
sister	our	1
said	one	3
other	said	2
they	one	1
they	other	1
to	one	6
the	one	8
other	one	2
other	to	2
the	other	3
a	what	1
poor	what	1
a	poor	3
stupid	mean-spirited	1
creature	stupid	2
she	stupid	1
stupid	is	1
creature	mean-spirited	1
she	mean-spirited	1
mean-spirited	is	1
she	creature	1
creature	is	2
she	is	1
to	contented	1
to	such	1
to	an	3
to	unhappy	2
to	situation	1
be	contented	1
with	be	4
be	such	1
an	be	1
be	unhappy	1
be	situation	1
with	contented	1
such	contented	1
an	contented	1
contented	unhappy	1
contented	situation	1
with	such	1
with	an	4
with	unhappy	1
with	situation	1
such	unhappy	1
such	situation	1
an	unhappy	1
an	situation	1
unhappy	situation	1
the	quite	4
the	different	1
the	opinion	1
merchant	good	1
was	good	4
a	good	4
good	quite	1
good	different	1
good	opinion	1
merchant	of	2
merchant	quite	1
merchant	different	1
merchant	opinion	1
was	quite	3
was	different	1
was	opinion	1
of	quite	3
of	different	1
of	opinion	1
a	quite	2
a	different	1
a	opinion	1
quite	different	1
quite	opinion	1
different	opinion	1
he	knew	1
very	he	2
he	well	1
he	that	9
he	beauty	4
he	out-shone	1
he	her	5
he	sisters	1
very	knew	1
knew	well	1
that	knew	1
beauty	knew	1
knew	out-shone	1
her	knew	1
sisters	knew	1
very	well	2
very	out-shone	1
that	well	2
beauty	well	1
well	out-shone	1
her	well	3
sisters	well	1
that	out-shone	1
that	sisters	3
beauty	out-shone	1
beauty	sisters	3
her	out-shone	1
sisters	out-shone	1
in	person	3
as	in	2
in	well	1
in	mind	1
her	person	2
